planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual
PP,PRP,PREPARACION,SUBSECTOR,CONJ TRAFOS,PP-PRP-LGC-CONJ TRAFOS,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-CONJ TRAFOS,,
PP,PRP,PREPARACION,SUBSECTOR,EXPANDIDO,PP-PRP-LGC-EXPANDIDO,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-EXPANDIDO,,
PP,PRP,PREPARACION,SUBSECTOR,LAMINADORES,PP-PRP-LGC-LAMINADORES,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-LAMINADORES,,
PP,PRP,PREPARACION,SUBSECTOR,QUEBRADORES,PP-PRP-LGC-QUEBRADORES,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-QUEBRADORES,,
PP,PRP,PREPARACION,SUBSECTOR,REDLER,PP-PRP-LGC-REDLER,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-REDLER,,
PP,RPS,REPUESTOS,SUBSECTOR,EN REPARACION,PP-RPS-LGC-EN REPARACION,BTZ_Description_03,PP-RPS-LGC-REPUESTOS,PP-RPS-LGC-EN REPARACION,,
PP,SRV,SERVICIOS,SUBSECTOR,AIRE COMPRIMIDO,PP-SRV-LGC-AIRE COMPRIMIDO,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-AIRE COMPRIMIDO,,
PP,SRV,SERVICIOS,SUBSECTOR,BOMBAS DE RIO,PP-SRV-LGC-BOMBAS DE RIO,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-BOMBAS DE RIO,,
PP,SRV,SERVICIOS,SUBSECTOR,CLARIFICADORA,PP-SRV-LGC-CLARIFICADORA,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-CLARIFICADORA,,
PP,SRV,SERVICIOS,SUBSECTOR,FUEL OIL,PP-SRV-LGC-FUEL OIL,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-FUEL OIL,,
PP,SRV,SERVICIOS,SUBSECTOR,TRAT QUIM CALD,PP-SRV-LGC-TRAT QUIM CALD,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-TRAT QUIM CALD,,
PP,SRV,SERVICIOS,SUBSECTOR,TRAT. DE AGUA,PP-SRV-LGC-TRAT. DE AGUA,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-TRAT. DE AGUA,,
PP,SRV,SERVICIOS,SUBSECTOR,VAPOR,PP-SRV-LGC-VAPOR,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-VAPOR,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,TANQUES 400,TE-ACT-LGC-TANQUES 400,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,TANQUES ACEITE,TE-ACT-LGC-TANQUES ACEITE,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,TANQUES ACEITE OSL,TE-ACT-LGC-TANQUES ACEITE OSL,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,SECTOR BAJO BARR,TE-BBR-LGC-SECTOR BAJO  BARR,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-BBR-LGC-SECTOR BAJO  BARR,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,TANQUES TGR,TE-GLC-LGC-TANQUES TGR,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,SECTOR AKZO NOBEL,TE-MDU-LGC-SECTOR AKZO NOBEL,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-MDU-LGC-SECTOR AKZO NOBEL,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,SECTOR SAN BENITO,TE-MSB-LGC-SECTOR SAN BENITO,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-MSB-LGC-SECTOR SAN BENITO,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,CARGADERO,TE-RFN-LGC-CARGADERO,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-RFN-LGC-CARGADERO,,
TE,ADD,DES BARCAZAS,SUBSECTOR,CINTAS DESC BARC,TE-ADD-LGC-CINTAS DESC BARC,BTZ_Description_03,TE-ADD-LGC-DES BARCAZAS,TE-ADD-LGC-CINTAS DESC BARC,,
TE,ADD,DES BARCAZAS,SUBSECTOR,MALACATES,TE-ADD-LGC-MALACATES,BTZ_Description_03,TE-ADD-LGC-DES BARCAZAS,TE-ADD-LGC-MALACATES,,
TE,ADD,DES BARCAZAS,SUBSECTOR,TOLVAS AZUFRE,TE-ADD-LGC-TOLVAS AZUFRE,BTZ_Description_03,TE-ADD-LGC-DES BARCAZAS,TE-ADD-LGC-TOLVAS AZUFRE,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,BICICLETERO,TE-ADM-EDF-BICICLETERO,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-BICICLETERO,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,COCHERAS,TE-ADM-EDF-COCHERAS,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-COCHERAS,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,COMEDOR,TE-ADM-EDF-COMEDOR,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-COMEDOR,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,DPTO MEDICO,TE-ADM-EDF-DPTO MEDICO,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-DPTO MEDICO,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,OFICINAS,TE-ADM-EDF-OFICINAS,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-OFICINAS,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,PORTERIA,TE-ADM-EDF-PORTERIA,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-PORTERIA,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,VESTUARIOS GRALES,TE-ADM-EDF-VESTUARIOS GRALES,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-VESTUARIOS GRALES,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,OBRADOR ELECTRICO,TE-TLL-LGC-OBRADOR ELECTRICO,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-TLL-LGC-OBRADOR ELECTRICO,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,OBRADOR MECANICO,TE-TLL-LGC-OBRADOR MECANICO,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-TLL-LGC-OBRADOR MECANICO,,
TE,ALM,ALMACENAJE (SILOS),SUBSECTOR,SILO 5,TE-ALM-SLO-SILO 5,BTZ_Description_03,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 5,,
TE,ALM,ALMACENAJE (SILOS),SUBSECTOR,SILO 6,TE-ALM-SLO-SILO 6,BTZ_Description_03,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 6,,
TE,ALM,ALMACENAJE (SILOS),SUBSECTOR,SILO 7,TE-ALM-SLO-SILO 7,BTZ_Description_03,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 7,,
TE,ALM,ALMACENAJE(CELDAS),SUBSECTOR,SILO 4,TE-ALM-SLO-SILO 4,BTZ_Description_03,TE-ALM-LGC-ALMACENAJE(CELDAS),TE-ALM-SLO-SILO 4,,
TE,ALM,ALMACENAJE(CELDAS),SUBSECTOR,CELDA 1,TE-ALM-CLD-CELDA 1,BTZ_Description_03,TE-ALM-LGC-ALMACENAJE(CELDAS),TE-ALM-CLD-CELDA 1,,
TE,ALM,ALMACENAJE(CELDAS),SUBSECTOR,CELDA 2,TE-ALM-CLD-CELDA 2,BTZ_Description_03,TE-ALM-LGC-ALMACENAJE(CELDAS),TE-ALM-CLD-CELDA 2,,
TE,ALM,ALMACENAJE(CELDAS),SUBSECTOR,CELDA 3,TE-ALM-CLD-CELDA 3,BTZ_Description_03,TE-ALM-LGC-ALMACENAJE(CELDAS),TE-ALM-CLD-CELDA 3,,
TE,ALM,ALMACENAJE(CELDAS),SUBSECTOR,CELDA 4,TE-ALM-CLD-CELDA 4,BTZ_Description_03,TE-ALM-LGC-ALMACENAJE(CELDAS),TE-ALM-CLD-CELDA 4,,
TE,CLD,DPTOCALIDAD,SUBSECTOR,CALADO CAMIONES,TE-CLD-LGC-CALADO CAMIONES,BTZ_Description_03,TE-CLD-LGC-DPTOCALIDAD,TE-CLD-LGC-CALADO CAMIONES,,
TE,DDC,DESCARGA CAMIONES,SUBSECTOR,PLAT. VOLCABLES,TE-DDC-LGC-PLAT. VOLCABLES,BTZ_Description_03,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-LGC-PLAT. VOLCABLES,,
TE,DDC,DESCARGA CAMIONES,SUBSECTOR,PV1,TE-DDC-PTV-PV1,BTZ_Description_03,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV1,,
TE,DDC,DESCARGA CAMIONES,SUBSECTOR,PV2,TE-DDC-PTV-PV2,BTZ_Description_03,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV2,,
TE,DDC,DESCARGA CAMIONES,SUBSECTOR,PV3,TE-DDC-PTV-PV3,BTZ_Description_03,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV3,,
TE,DDC,DESCARGA CAMIONES,SUBSECTOR,PV4,TE-DDC-PTV-PV4,BTZ_Description_03,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV4,,
TE,DDC,DESCARGA CAMIONES,SUBSECTOR,PV5,TE-DDC-PTV-PV5,BTZ_Description_03,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV5,,
TE,ELE,EQUIPOS ELECTRICOS,SUBSECTOR,TRAFOS,TE-TRF-LGC-TRAFOS,BTZ_Description_03,TE-ELE-LGC-EQUIPOS ELECTRICOS,TE-TRF-LGC-TRAFOS,,
TE,EMB,SECTOR EMBARQUE,SUBSECTOR,ATRAQUE/AMARRE,TE-EMB-LGC-ATRAQUE/AMARRE,BTZ_Description_03,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-ATRAQUE/AMARRE,,
TE,EMB,SECTOR EMBARQUE,SUBSECTOR,CINTAS EMBARQUE,TE-EMB-LGC-CINTAS EMBARQUE,BTZ_Description_03,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-CINTAS EMBARQUE,,
TE,EMB,SECTOR EMBARQUE,SUBSECTOR,DOLPHIN,TE-EMB-LGC-DOLPHIN,BTZ_Description_03,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-DOLPHIN,,
TE,EMB,SECTOR EMBARQUE,SUBSECTOR,PESCANTES,TE-EMB-LGC-PESCANTES,BTZ_Description_03,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-PESCANTES,,
TE,EXP,EXPEDICION,SUBSECTOR,SECTOR ACCESO OSL,TE-EXP-LGC-SECTOR ACCESO OSL,BTZ_Description_03,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR ACCESO OSL,,
TE,EXP,EXPEDICION,SUBSECTOR,SECTOR BALANZA OSL,TE-EXP-LGC-SECTOR BALANZA OSL,BTZ_Description_03,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR BALANZA OSL,,
TE,EXP,EXPEDICION,SUBSECTOR,SECTOR BALANZA PTO,TE-EXP-LGC-SECTOR BALANZA PTO,BTZ_Description_03,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR BALANZA PTO,,
TE,PLY,SECTOR PLAYA,SUBSECTOR,BARRANCA,TE-PLY-LGC-BARRANCA,BTZ_Description_03,TE-PLY-LGC-SECTOR PLAYA,TE-PLY-LGC-BARRANCA,,
TE,PLY,SECTOR PLAYA,SUBSECTOR,CANAL PLUVIAL NORTE,TE-PLY-CNL-CANAL PLUVIAL NORTE,BTZ_Description_03,TE-PLY-LGC-SECTOR PLAYA,TE-PLY-CNL-CANAL PLUVIAL NORTE,,
TE,PLY,SECTOR PLAYA,SUBSECTOR,CANAL PLUVIAL SUR,TE-PLY-CNL-CANAL PLUVIAL SUR,BTZ_Description_03,TE-PLY-LGC-SECTOR PLAYA,TE-PLY-CNL-CANAL PLUVIAL SUR,,
TE,PLY,SECTOR PLAYA,SUBSECTOR,CHICA TERM EMB,TE-PLY-LGC-CHICA TERM EMB,BTZ_Description_03,TE-PLY-LGC-SECTOR PLAYA,TE-PLY-LGC-CHICA TERM EMB,,
TE,PLY,SECTOR PLAYA,SUBSECTOR,PRINCIPAL TERM EMB,TE-PLY-LGC-PRINCIPAL TERM EMB,BTZ_Description_03,TE-PLY-LGC-SECTOR PLAYA,TE-PLY-LGC-PRINCIPAL TERM EMB,,
TE,SCD,SECTOR SECADORA,SUBSECTOR,QUEMADORES,TE-SCD-LGC-QUEMADORES,BTZ_Description_03,TE-SCD-LGC-SECTOR SECADORA,TE-SCD-LGC-QUEMADORES,,
TE,SCD,SECTOR SECADORA,SUBSECTOR,REDLER SECADORA,TE-SCD-LGC-REDLER SECADORA,BTZ_Description_03,TE-SCD-LGC-SECTOR SECADORA,TE-SCD-LGC-REDLER SECADORA,,
TE,SCD,SECTOR SECADORA,SUBSECTOR,VENTIL AIRE CALIENT,TE-SCD-LGC-VENTIL AIRE CALIENT,BTZ_Description_03,TE-SCD-LGC-SECTOR SECADORA,TE-SCD-LGC-VENTIL AIRE CALIENT,,
TE,TDM,TORRE DE MANIPULEO,SUBSECTOR,BALANZAS EMBARQUE,TE-TDM-LGC-BALANZAS EMBARQUE,BTZ_Description_03,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-BALANZAS EMBARQUE,,
TE,TDM,TORRE DE MANIPULEO,SUBSECTOR,CINTAS TRANSFERENCI,TE-TDM-LGC-CINTAS TRANSFERENCI,BTZ_Description_03,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-CINTAS TRANSFERENCI,,
TE,TDM,TORRE DE MANIPULEO,SUBSECTOR,ELEVADORES,TE-TDM-LGC-ELEVADORES,BTZ_Description_03,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-ELEVADORES,,
TE,TDM,TORRE DE MANIPULEO,SUBSECTOR,PENDULARES TDM,TE-TDM-LGC-PENDULARES TDM,BTZ_Description_03,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-PENDULARES TDM,,
TE,TE6,TORRE EL6,SUBSECTOR,NORIA EL6,TE-TE6-NOR-EL6,BTZ_Description_03,TE-TE6-LGC-TORRE EL6,TE-TE6-NOR-EL6,,
TE,TE6,TORRE EL6,SUBSECTOR,NORIA EL9,TE-TE6-NOR-EL9,BTZ_Description_03,TE-TE6-LGC-TORRE EL6,TE-TE6-NOR-EL9,,
TE,ACT,SECTOR ACEITE,UNIDAD,TK400,TE-BIO-TNQ-TK400,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK400,TK400
TE,ACT,SECTOR ACEITE,UNIDAD,TK401,TE-BIO-TNQ-TK401,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK401,TK401
TE,ACT,SECTOR ACEITE,UNIDAD,TK402,TE-BIO-TNQ-TK402,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK402,TK402
TE,ACT,SECTOR ACEITE,UNIDAD,TK403,TE-FUEL-TNQ-TK403,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK403,TK403
TE,ACT,SECTOR ACEITE,UNIDAD,TK404,TE-FUEL-TNQ-TK404,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK404,TK404
TE,ACT,SECTOR ACEITE,UNIDAD,TK405,TE-FUEL-TNQ-TK405,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK405,TK405
TE,ACT,SECTOR ACEITE,UNIDAD,TK1,TE-ACT-TNQ-TK1,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK1,TK1
TE,ACT,SECTOR ACEITE,UNIDAD,TK2,TE-ACT-TNQ-TK2,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK2,TK2
TE,ACT,SECTOR ACEITE,UNIDAD,TK3,TE-ACT-TNQ-TK3,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK3,TK3
TE,ACT,SECTOR ACEITE,UNIDAD,TK4,TE-ACT-TNQ-TK4,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK4,TK4
TE,ACT,SECTOR ACEITE,UNIDAD,TK5,TE-ACT-TNQ-TK5,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK5,TK5
TE,ACT,SECTOR ACEITE,UNIDAD,TK6,TE-ACT-TNQ-TK6,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK6,TK6
TE,ACT,SECTOR ACEITE,UNIDAD,TK7,TE-ACT-TNQ-TK7,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK7,TK7
TE,ACT,SECTOR ACEITE,UNIDAD,TK8,TE-LCT-TNQ-TK8,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-LCT-TNQ-TK8,TK8
TE,ACT,SECTOR ACEITE,UNIDAD,TK9,TE-ACT-TNQ-TK9,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-ACT-TNQ-TK9,TK9
TE,ACT,SECTOR ACEITE,UNIDAD,TK10,TE-ACT-TNQ-TK10,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-ACT-TNQ-TK10,TK10
TE,ACT,SECTOR ACEITE,UNIDAD,TK11,TE-ACT-TNQ-TK11,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-ACT-TNQ-TK11,TK11
TE,ACT,SECTOR ACEITE,UNIDAD,TK12,TE-ACT-TNQ-TK12,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-ACT-TNQ-TK12,TK12
TE,ACT,SECTOR ACEITE,UNIDAD,TGR7,TE-GLC-TNQ-TK TGR7,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR7,TGR7
TE,ACT,SECTOR ACEITE,UNIDAD,TGR8,TE-GLC-TNQ-TK TGR8,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR8,TGR8
TE,ACT,SECTOR ACEITE,UNIDAD,TGR9,TE-GLC-TNQ-TK TGR9,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR9,TGR9
TE,ACT,SECTOR ACEITE,UNIDAD,TGR10,TE-GLC-TNQ-TK TGR10,BTZ_Description_04,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR10,TGR10
